loc_rowid,pl_name,host_name,sy_star_count,sy_planet_count,disc_method,disc_year,disc_facility,disc_telescope,disc_instrument,facility_count,telescope_count,instrument_count,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,ttv_flag,st_temp_eff_k,st_temp_eff_k1,st_temp_eff_k2,st_radius,st_mass,st_metallicity,st_surf_gravity,rastr,ra,decstr,dec,sy_distance_pc,sy_vmag,sy_kmag,sy_gaiamag
4282,Kepler-903 b,Kepler-903,1,2,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,10.3507721,0.0907,2.01,0.179,4.7,0.0148,M-R relationship,0,0,5682,77.93,-110.73,0.97,0.98,0.05,4.46,19h15m05.04s,288.7710137,+40d39m51.04s,40.6641771,1369.24,14.856,12.993,14.615
4283,Kepler-903 c,Kepler-903,1,2,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,62.9228557,0.302,2.53,0.226,6.94,0.0218,M-R relationship,0,0,5682,77.93,-110.73,0.97,0.98,0.05,4.46,19h15m05.04s,288.7710137,+40d39m51.04s,40.6641771,1369.24,14.856,12.993,14.615
4284,Kepler-904 b,Kepler-904,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,3.02166863,0.0417,1.77,0.158,3.78,0.0119,M-R relationship,0,0,6160,119.73,-149.12,1.25,1.16,0.05,4.31,19h15m17.50s,288.8229001,+40d23m20.44s,40.38901,978.125,14.56,13.046,14.3921
4285,Kepler-905 b,Kepler-905,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,5.08274652,0.0572,1.41,0.126,2.57,0.00809,M-R relationship,0,0,5461,58.65,-55.12,0.86,0.95,0.09,4.55,19h20m12.28s,290.0511468,+46d42m48.27s,46.7134077,529.268,14.058,12.264,13.9504
4286,Kepler-906 b,Kepler-906,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,41.6979976,0.2359,2.11,0.188,5.1,0.016,M-R relationship,0,0,6035,72.63,-62.37,1.02,1.06,-0.09,4.45,19h25m37.33s,291.4055614,+40d07m31.53s,40.1254254,757.791,14.019,12.594,13.918
4287,Kepler-907 b,Kepler-907,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,15.86621821,0.1225,1.2,0.107,1.87,0.00588,M-R relationship,0,0,6106,84.34,-82.33,1.38,1.08,-0.15,4.19,19h01m54.36s,285.4764959,+41d37m57.58s,41.6326615,352,11.16,10.282,11.4623
4288,Kepler-908 b,Kepler-908,3,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,1.34059747,0.0247,1.22,0.109,1.98,0.00624,M-R relationship,0,0,5973,89.43,-95.84,1.12,1.11,0.15,4.38,19h41m17.41s,295.3225434,+39d22m35.26s,39.3764624,290.843,11.607,9.993,11.465
4289,Kepler-909 b,Kepler-909,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,13.93290318,0.1175,1.47,0.131,2.76,0.00869,M-R relationship,0,0,6154,62.02,-57.72,1.23,1.17,0.08,4.33,19h18m01.53s,289.5063796,+45d22m15.50s,45.3709728,309.596,11.626,10.274,11.5096
4290,Kepler-91 b,Kepler-91,1,1,Transit,2013,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,6.24658,0.0731,15.323,1.367,257.4423,0.81,Mass,0.0519,0,4550,75,-75,6.3,1.31,0.11,2.95,19h02m41.50s,285.6729033,+44d07m00.30s,44.1167513,1294.69,12.712,10.136,12.4762
4291,Kepler-910 b,Kepler-910,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,2.36436901,0.0382,0.82,0.073,0.477,0.0015,M-R relationship,0,0,6230,78.42,-71.69,1.5,1.26,0.12,4.19,19h44m11.35s,296.0472937,+42d44m34.59s,42.7429414,400.289,11.44,10.329,11.5286
4292,Kepler-911 b,Kepler-911,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,20.310501,0.1549,2.6,0.232,7.27,0.0229,M-R relationship,0,0,6112,58.03,-62.2,1.99,1.34,0.03,3.97,19h54m21.41s,298.5891948,+40d45m02.49s,40.7506921,556.168,11.767,10.511,11.8295
4293,Kepler-912 b,Kepler-912,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,2.53475627,0.0339,2.8,0.25,8.25,0.0259,M-R relationship,0,0,5998,277.89,-268.31,1.11,1.07,0.02,4.37,19h52m26.68s,298.1111779,+41d45m29.97s,41.758324,2004.72,15.668,13.602,15.3262
4294,Kepler-913 b,Kepler-913,1,2,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,10.29672521,0.1009,2.06,0.184,4.9,0.0154,M-R relationship,0,0,4687,34.09,-30.74,0.61,0.63,-0.52,4.67,19h50m19.93s,297.5830564,+41d57m08.47s,41.9523531,991.618,15.522,13.477,15.7385
4295,Kepler-913 c,Kepler-913,1,2,Transit,2021,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,5.93911982,0.0699,3.858,0.344,14.2,0.0447,M-R relationship,0,0,6068,82,-82,1.8,1.29,0.16,4.04,19h50m19.93s,297.5830564,+41d57m08.47s,41.9523531,991.618,15.522,13.477,15.7385
4296,Kepler-914 b,Kepler-914,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,4.40966548,0.0544,1.38,0.123,2.48,0.0078,M-R relationship,0,0,5877,74.15,-65.03,1.15,1.1,0.22,4.36,19h21m38.90s,290.4120774,+44d53m57.56s,44.8993227,753.723,13.667,12.131,13.5481
4297,Kepler-915 b,Kepler-915,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,4.59489604,0.0566,1.5,0.134,2.86,0.00899,M-R relationship,0,0,6173,70.33,-51.89,1.38,1.21,0.08,4.24,19h22m22.11s,290.5921293,+45d44m13.99s,45.7372184,849.036,13.314,12.041,13.2408
4298,Kepler-916 b,Kepler-916,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,32.2968798,0.1885,1.76,0.157,3.75,0.0118,M-R relationship,0,0,5248,98.84,-91.38,0.81,0.85,-0.05,4.56,19h23m56.01s,290.9833818,+45d58m24.00s,45.9733334,830.712,15.363,13.305,15.1752
4299,Kepler-917 b,Kepler-917,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,2.97041437,0.0378,1.91,0.17,4.31,0.0136,M-R relationship,0,0,5418,120.33,-70.72,0.76,0.8,-0.38,4.58,19h56m12.30s,299.0512562,+47d56m57.36s,47.9492677,3460.51,15.896,14.005,15.8533
