DATE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D
DATE,OFF_AVG,RESI_AVG,HOT_AVG,NL_AVG,SC_AVG,MALL_AVG,HC_AVG,IND_AVG,SS_AVG,DC_AVG,ALL_AVG,OFF_AVG,RESI_AVG,HOT_AVG,NL_AVG,SC_AVG,MALL_AVG,HC_AVG,IND_AVG,SS_AVG,DC_AVG,ALL_AVG
MARKET CAPITALIZATION,,,,,,,,,,,,,,,,,,,,,,
DATE,OFF_AVG_CLOSE,RESI_AVG_CLOSE,HOT_AVG_CLOSE,NL_AVG_CLOSE,SC_AVG_CLOSE,MALL_AVG_CLOSE,HC_AVG_CLOSE,IND_AVG_CLOSE,SS_AVG_CLOSE,DC_AVG_CLOSE,ALL_AVG_CLOSE,OFF_AVG_RETURN_1D,RESI_AVG_RETURN_1D,HOT_AVG_RETURN_1D,NL_AVG_RETURN_1D,SC_AVG_RETURN_1D,MALL_AVG_RETURN_1D,HC_AVG_RETURN_1D,IND_AVG_RETURN_1D,SS_AVG_RETURN_1D,DC_AVG_RETURN_1D,ALL_AVG_RETURN_1D
2018-06-05 00:00:00,$38.37 ,$70.48 ,$74.46 ,$33.68 ,$31.56 ,$72.19 ,$31.91 ,$46.25 ,$55.25 ,$196.69 ,$65.08 ,(0.16%),(0.67%),(1.08%),0.02%,1.11%,1.18%,(0.66%),(0.64%),(0.97%),(1.11%),(0.30%)
2018-06-06 00:00:00,$38.48 ,$70.79 ,$74.58 ,$33.82 ,$31.93 ,$73.89 ,$31.88 ,$46.15 ,$55.06 ,$196.75 ,$65.33 ,0.28%,0.44%,0.17%,0.41%,1.17%,2.35%,(0.09%),(0.21%),(0.34%),0.03%,0.42%
2018-06-07 00:00:00,$38.42 ,$70.50 ,$74.36 ,$33.83 ,$31.83 ,$74.14 ,$31.97 ,$46.04 ,$55.09 ,$197.01 ,$65.32 ,(0.16%),(0.41%),(0.30%),0.02%,(0.30%),0.35%,0.28%,(0.22%),0.06%,0.13%,(0.05%)
2018-06-08 00:00:00,$38.47 ,$70.93 ,$73.23 ,$33.82 ,$31.92 ,$74.32 ,$32.09 ,$46.13 ,$55.40 ,$199.40 ,$65.57 ,0.12%,0.62%,(1.52%),(0.04%),0.27%,0.24%,0.36%,0.19%,0.56%,1.21%,0.20%
2018-06-11 00:00:00,$38.36 ,$70.53 ,$72.50 ,$33.83 ,$31.96 ,$74.70 ,$32.11 ,$45.97 ,$55.31 ,$199.91 ,$65.52 ,(0.27%),(0.58%),(1.00%),0.05%,0.13%,0.51%,0.05%,(0.34%),(0.16%),0.26%,(0.14%)
2018-06-12 00:00:00,$38.48 ,$70.79 ,$72.21 ,$34.12 ,$32.42 ,$74.71 ,$32.26 ,$46.06 ,$55.62 ,$200.56 ,$65.72 ,0.29%,0.38%,(0.40%),0.86%,1.44%,0.02%,0.48%,0.18%,0.56%,0.32%,0.41%
2018-06-13 00:00:00,$37.80 ,$69.56 ,$70.73 ,$33.56 ,$31.77 ,$72.10 ,$31.47 ,$45.41 ,$54.71 ,$194.35 ,$64.15 ,(1.76%),(1.74%),(2.04%),(1.65%),(2.02%),(3.49%),(2.44%),(1.42%),(1.64%),(3.10%),(2.13%)
2018-06-14 00:00:00,$38.11 ,$70.19 ,$71.87 ,$34.01 ,$32.05 ,$72.28 ,$31.96 ,$45.84 ,$55.35 ,$196.72 ,$64.84 ,0.82%,0.92%,1.61%,1.35%,0.90%,0.25%,1.55%,0.95%,1.18%,1.22%,1.07%
2018-06-15 00:00:00,$38.21 ,$70.14 ,$70.42 ,$34.08 ,$31.88 ,$72.51 ,$32.00 ,$45.64 ,$55.04 ,$197.30 ,$64.72 ,0.26%,(0.07%),(2.01%),0.20%,(0.54%),0.32%,0.11%,(0.43%),(0.57%),0.29%,(0.24%)
2018-06-18 00:00:00,$38.29 ,$69.60 ,$71.05 ,$33.89 ,$31.86 ,$72.72 ,$31.77 ,$45.86 ,$55.29 ,$198.26 ,$64.86 ,0.22%,(0.77%),0.89%,(0.56%),(0.06%),0.30%,(0.71%),0.48%,0.45%,0.49%,0.07%
